time[s],m_in
940,7.41928297290857e-06
941,7.42683744718726e-06
942,7.43439122302655e-06
943,7.44194430049114e-06
944,7.4494966796457e-06
945,7.45704836055485e-06
946,7.4645993432832e-06
947,7.47214962789546e-06
948,7.47969921445619e-06
949,7.48724810302999e-06
950,7.49479629368157e-06
951,7.50234378647546e-06
952,7.50989058147628e-06
953,7.51743667874864e-06
954,7.5249820783571e-06
955,7.53252678036627e-06
956,7.54007078484073e-06
957,7.54761409184504e-06
958,7.55515670144377e-06
959,7.56269861370146e-06
960,7.5702398286827e-06
961,7.57778034645201e-06
962,7.58532016707394e-06
963,7.59285929061305e-06
964,7.60039771713382e-06
965,7.60793544670082e-06
966,7.61547247937855e-06
967,7.62300881523151e-06
968,7.63054445432422e-06
969,7.63807939672119e-06
970,7.6456136424869e-06
971,7.65314719168583e-06
972,7.66068004438251e-06
973,7.66821220064134e-06
974,7.67574366052686e-06
975,7.68327442410347e-06
976,7.69080449143568e-06
977,7.69833386258794e-06
978,7.70586253762467e-06
979,7.71339051661033e-06
980,7.72091779960935e-06
981,7.72844438668614e-06
982,7.73597027790515e-06
983,7.74349547333078e-06
984,7.75101997302746e-06
985,7.75854377705958e-06
986,7.76606688549155e-06
987,7.77358929838771e-06
988,7.78111101581251e-06
989,7.78863203783032e-06
990,7.79615236450549e-06
991,7.80367199590243e-06
992,7.81119093208544e-06
993,7.81870917311894e-06
994,7.82622671906725e-06
995,7.83374356999475e-06
996,7.8412597259657e-06
997,7.84877518704451e-06
998,7.85628995329547e-06
999,7.86380402478293e-06
1000,7.87131740157117e-06
1001,7.87883008372455e-06
1002,7.88634207130728e-06
1003,7.89385336438376e-06
1004,7.90136396301823e-06
1005,7.90887386727496e-06
1006,7.91638307721829e-06
1007,7.92389159291246e-06
1008,7.93139941442171e-06
1009,7.93890654181035e-06
1010,7.94641297514258e-06
1011,7.95391871448273e-06
1012,7.96142375989494e-06
1013,7.96892811144355e-06
1014,7.97643176919275e-06
1015,7.98393473320673e-06
1016,7.99143700354977e-06
1017,7.99893858028604e-06
1018,8.00643946347978e-06
1019,8.01393965319519e-06
1020,8.02143914949642e-06
1021,8.0289379524477e-06
1022,8.03643606211324e-06
1023,8.04393347855717e-06
1024,8.05143020184368e-06
1025,8.05892623203693e-06
1026,8.0664215692011e-06
1027,8.07391621340033e-06
1028,8.08141016469878e-06
1029,8.08890342316055e-06
1030,8.09639598884983e-06
1031,8.10388786183077e-06
1032,8.11137904216742e-06
1033,8.11886952992395e-06
1034,8.12635932516445e-06
1035,8.13384842795305e-06
1036,8.1413368383538e-06
1037,8.14882455643087e-06
1038,8.15631158224833e-06
1039,8.16379791587023e-06
1040,8.17128355736064e-06
1041,8.17876850678368e-06
1042,8.1862527642034e-06
1043,8.19373632968382e-06
1044,8.20121920328905e-06
1045,8.20870138508309e-06
1046,8.21618287513005e-06
1047,8.22366367349388e-06
1048,8.23114378023868e-06
1049,8.23862319542842e-06
1050,8.24610191912718e-06
1051,8.25357995139892e-06
1052,8.26105729230765e-06
1053,8.26853394191739e-06
1054,8.27600990029213e-06
1055,8.28348516749586e-06
1056,8.29095974359256e-06
1057,8.29843362864619e-06
1058,8.30590682272077e-06
1059,8.31337932588022e-06
1060,8.3208511381885e-06
1061,8.3283222597096e-06
1062,8.33579269050741e-06
1063,8.3432624306459e-06
1064,8.35073148018903e-06
1065,8.35819983920072e-06
1066,8.36566750774487e-06
1067,8.37313448588539e-06
